"","student","colBoston","colDA","isSame"
"1",1,1,1,TRUE
"2",2,0,3,FALSE
"3",3,3,2,FALSE
"4",4,1,2,FALSE
"5",5,1,0,FALSE
"6",6,2,0,FALSE
"7",7,2,0,FALSE
"8",8,0,3,FALSE
"9",9,2,3,FALSE
"10",10,2,0,FALSE
"11",11,3,3,TRUE
"12",12,2,1,FALSE
"13",13,2,1,FALSE
"14",14,0,0,TRUE
"15",15,0,0,TRUE
"16",16,3,1,FALSE
"17",17,1,1,TRUE
"18",18,0,2,FALSE
"19",19,1,2,FALSE
"20",20,0,2,FALSE
"21",21,3,3,TRUE
"22",22,3,2,FALSE
"23",23,1,3,FALSE
"24",24,3,1,FALSE
